Module,File,CRUD,Import,Export,IndexedDB,Auto Push,Auto Pull,Dedup,Calculation,Less-over-more,Mobile,Desktop,GS v4.2 mock integration,Evidence and limits
IE／SMV 更新與工序,ie_smv_report_v2_1.html,FAIL（未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,9/19 實檔 60 更新＋A2642K 24 工序；核可／待核邊界、調整參考、正式取值、Excel 匯出重匯通過。IE 全部表單及原生 MSG 未實機驗證。 v4.1：實際 Production GS 與本模組前端往返、未變不傳通過；正式部署及實機未驗證。 v4.3：實際預覽確認保存60更新＋24工序；副本(1)不作部位；Pending不能提前取代正式值；混合失敗檔及保存失敗復原通過。
shipping_v2,shipping_v2.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,修正啟動等候本機資料；共用 Smart Sync 中斷續讀／未變不下載模擬通過。缺少原先 shipping/sewing 原報表，本次未重驗所有匯入與計算。
vrt_customer_statistics_control_center_v1,vrt_customer_statistics_control_center_v1.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
布倉／舊布使用／輔料,vrt_fabric_stock_control_v1.html,PASS（本機資料／模擬測試）,PASS（本機資料／模擬測試）,PASS（Excel）；PASS（收發 CSV）；FAIL（其他 CSV 未完整驗證）,PASS（本機資料／模擬測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（本機資料／模擬測試）,PASS（本機資料／模擬測試）,PASS（本機資料／模擬測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,實檔 7090 明細，5 個顯示函式、Excel 匯出讀回、IDB 重載、局部合併；表單新增修改刪除、清除保留 tombstone、失敗復原通過。CSV 與其他舊輔料來源未完整重驗。 v4.3：新增期初／收到／發出／結餘，CRUD流程、雙語跨行表頭、Excel與CSV回讀、範例排除、Portal局部合併、兩端GS模擬同步及未變不傳通過。
Monthly Shipping,vrt_monthly_shipping_control_center_v1.html,FAIL（未驗證）,PASS（格式模擬測試）,PASS（格式模擬測試）,PASS（格式模擬測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（格式模擬測試）,PASS（格式模擬測試）,PASS（格式模擬測試）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,生成的四筆排程含空白數量與 OTHER 未定日期；SUMMARY 補缺、Excel/CSV 讀回、局部更新、重匯不存不傳、IDB 重載通過。原先上傳月出貨原檔缺少，未重驗原檔與完整 CRUD 表單。
orders_v3,orders_v3.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
機修零件／採購,vrt_spare_parts_v2.html,FAIL（未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,價格表 86 主檔／152 採購，以及五份隨附附件按鈕匯入回歸；保存及各新分頁執行。主檔全套表單、OCR 未實機驗證。 v4.1：實際 Production GS 與本模組前端往返、未變不傳通過；正式部署及實機未驗證。 v4.3：PCS／個對應；不同包裝保留；392明細＋51發票摘要；兩檔重複不累加；實際確認及失敗重試通過。
vrt_production_weekly_report_generator_v3,vrt_production_weekly_report_generator_v3.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
cutting_plan_v2,cutting_plan_v2.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
VRT_PO_Delivery_Control_Center,VRT_PO_Delivery_Control_Center.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
BOM 成本共用視窗,vrt_bom_costing_view_v39.html,N/A（彙整／共用母頁）,FAIL（未驗證）,FAIL（未驗證）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,與母頁共用資料，情境／歷年費用各種獨立匯入格式未完整重驗
PROD Portal,portal_v2.html,N/A（彙整／共用母頁）,N/A（彙整／共用母頁）,N/A（彙整／共用母頁）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,N/A（彙整／共用母頁）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,加入 QC 卡與共用連線設定下載；全站腳本／連結檢查；既有 URL 沿用與全新瀏覽器設定採用由共用程式模擬驗證。未實機驗證 Portal 各按鈕。 v4.3：IE入口與Sewing／Cutting並列；布倉收發、庫存及刪除標記部分合併通過。
